,,,,,,,,,,,
NCHS Mortality Surveillance Data,,,,,,,,,,,
"For the Week Ending July 4, 2020 (Week 27)",,,,,,,,,,,
https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/index.html,,,,,,,,,,,
"Data as of July 9, 2020",,,,,,,,,,,
Year,Week,Total Deaths,"Pneumonia, Influenza or COVID-19 Deaths",,Baseline,Threshold,,,,,
,,,Number,% of Total,,,,,,,
2019,40,"52,563","2,730",5.2,5.3,5.7,,,,,
2019,41,"53,089","2,799",5.3,5.4,5.7,,,,,
2019,42,"54,335","3,008",5.5,5.5,5.8,,,,,
2019,43,"54,047","3,027",5.6,5.6,5.9,,,,,
2019,44,"54,084","2,956",5.5,5.7,6.0,,,,,
2019,45,"55,697","3,112",5.6,5.8,6.2,,,,,
2019,46,"55,887","3,144",5.6,5.9,6.3,,,,,
2019,47,"56,191","3,065",5.5,6.0,6.4,,,,,
2019,48,"55,464","3,064",5.5,6.2,6.5,,,,,
2019,49,"57,302","3,427",6,6.3,6.6,,,,,
2019,50,"57,655","3,595",6.2,6.4,6.7,,,,,
2019,51,"57,419","3,517",6.1,6.5,6.8,,,,,
2019,52,"58,452","3,738",6.4,6.6,6.9,,,,,
2020,1,"59,906","4,502",7.5,6.7,7.0,,,,,
2020,2,"60,394","4,581",7.6,6.7,7.1,,,,,
2020,3,"58,945","4,478",7.6,6.8,7.2,,,,,
2020,4,"58,501","4,354",7.4,6.9,7.2,,,,,
2020,5,"58,291","4,249",7.3,6.9,7.3,,,,,
2020,6,"59,011","4,289",7.3,7.0,7.3,,,,,
2020,7,"58,212","4,340",7.5,7.0,7.3,,,,,
2020,8,"58,136","4,212",7.2,7.0,7.3,,,,,
2020,9,"58,400","4,412",7.6,7.0,7.3,,,,,
2020,10,"58,633","4,542",7.7,7.0,7.3,,,,,
2020,11,"57,654","4,529",7.9,6.9,7.3,,,,,
2020,12,"58,497","5,343",9.1,6.9,7.2,,,,,
2020,13,"62,456","8,217",13.2,6.8,7.1,,,,,
2020,14,"71,615","15,250",21.3,6.7,7.1,,,,,
2020,15,"78,273","20,835",26.6,6.7,7.0,,,,,
2020,16,"75,929","20,986",27.6,6.6,6.9,,,,,
2020,17,"72,801","18,951",26.0,6.5,6.8,,,,,
2020,18,"67,974","16,339",24.0,6.4,6.7,,,,,
2020,19,"65,079","13,973",21.5,6.3,6.6,,,,,
2020,20,"62,094","11,777",19.0,6.2,6.5,,,,,
2020,21,"58,482","9,652",16.5,6.0,6.4,,,,,
2020,22,"55,440","8,373",15.1,5.9,6.3,,,,,
2020,23,"53,586","6,995",13.1,5.8,6.2,,,,,
2020,24,"50,858","5,780",11.4,5.7,6.0,,,,,
2020,25,"45,286","4,520",10.0,5.6,5.9,,,,,
2020,26,"33,273","2,308",6.9,5.5,5.9,,,,,
2020,27,"16,389",905,5.5,5.4,5.8,,,,,
